"","fname","province","IOIC","constrained","type","Direct.Multiplier","Indirect.Multiplier","Induced.Multiplier","Total.Multiplier"
"663","data/Yukon summary.xlsx","Yukon","Total Sector",TRUE,"Jobs",0.0110799438990182,0.000386864069080176,0.00104599120751519,0.0125127991756136
"664","data/Yukon summary.xlsx","Yukon","Total Sector",FALSE,"Output",1,0.393704905462289,0.434989158618127,1.82869402730498
"665","data/Yukon summary.xlsx","Yukon","Total Sector",FALSE,"GDP",0.693197755960729,0.186256988530753,0.270776123288632,1.15023084828238
"666","data/Yukon summary.xlsx","Yukon","Total Sector",FALSE,"Jobs",0.0110799438990182,0.00104466715876102,0.00196098562060515,0.0140855965432703
"667","data/Yukon summary.xlsx","Yukon","BS113000",TRUE,"Output",1,0.089833500428444,0.0258481578695157,1.11568165829796
"668","data/Yukon summary.xlsx","Yukon","BS113000",TRUE,"GDP",0.407292954264524,0.0535821427808824,0.0179671149129991,0.478842211958406
"669","data/Yukon summary.xlsx","Yukon","BS113000",TRUE,"Jobs",0.015327564894932,0.000374446213606239,0.000109348523004878,0.0158113596315431
"670","data/Yukon summary.xlsx","Yukon","BS113000",FALSE,"Output",1,0.762704403688938,0.122639924482874,1.88534429477521
"671","data/Yukon summary.xlsx","Yukon","BS113000",FALSE,"GDP",0.407292954264524,0.34431666796061,0.0740730089262889,0.825682613445305
"672","data/Yukon summary.xlsx","Yukon","BS113000",FALSE,"Jobs",0.015327564894932,0.00153498672686667,0.000587541914319891,0.0174500934134393
"673","data/Yukon summary.xlsx","Yukon","BS115300",TRUE,"Output",1,0.0763917310739852,0.332534771351785,1.40892650242577
"674","data/Yukon summary.xlsx","Yukon","BS115300",TRUE,"GDP",0.806412139011258,0.0452986688008077,0.230951541908027,1.08266234972009
"675","data/Yukon summary.xlsx","Yukon","BS115300",TRUE,"Jobs",0.00939794419970631,0.000391781369710436,0.00141688887355926,0.011206614442976
"676","data/Yukon summary.xlsx","Yukon","BS115300",FALSE,"Output",1,0.247586161425428,0.558675174485787,1.8062612977978
"677","data/Yukon summary.xlsx","Yukon","BS115300",FALSE,"GDP",0.806412139011258,0.123667521736697,0.348667860697649,1.27874750123841
"678","data/Yukon summary.xlsx","Yukon","BS115300",FALSE,"Jobs",0.00939794419970631,0.000850507330703665,0.00250485050394335,0.0127533018943151
"679","data/Yukon summary.xlsx","Yukon","BS321000",TRUE,"Output",NA,NA,NA,NA
"680","data/Yukon summary.xlsx","Yukon","BS321000",TRUE,"GDP",NA,NA,NA,NA
"681","data/Yukon summary.xlsx","Yukon","BS321000",TRUE,"Jobs",NA,NA,NA,NA
"682","data/Yukon summary.xlsx","Yukon","BS321000",FALSE,"Output",NA,NA,NA,NA
"683","data/Yukon summary.xlsx","Yukon","BS321000",FALSE,"GDP",NA,NA,NA,NA
"684","data/Yukon summary.xlsx","Yukon","BS321000",FALSE,"Jobs",NA,NA,NA,NA
"685","data/Yukon summary.xlsx","Yukon","BS321100",TRUE,"Output",NA,NA,NA,NA
"686","data/Yukon summary.xlsx","Yukon","BS321100",TRUE,"GDP",NA,NA,NA,NA
"687","data/Yukon summary.xlsx","Yukon","BS321100",TRUE,"Jobs",NA,NA,NA,NA
"688","data/Yukon summary.xlsx","Yukon","BS321100",FALSE,"Output",NA,NA,NA,NA
"689","data/Yukon summary.xlsx","Yukon","BS321100",FALSE,"GDP",NA,NA,NA,NA
"690","data/Yukon summary.xlsx","Yukon","BS321100",FALSE,"Jobs",NA,NA,NA,NA
"691","data/Yukon summary.xlsx","Yukon","BS321200",TRUE,"Output",NA,NA,NA,NA
"692","data/Yukon summary.xlsx","Yukon","BS321200",TRUE,"GDP",NA,NA,NA,NA
"693","data/Yukon summary.xlsx","Yukon","BS321200",TRUE,"Jobs",NA,NA,NA,NA
"694","data/Yukon summary.xlsx","Yukon","BS321200",FALSE,"Output",NA,NA,NA,NA
"695","data/Yukon summary.xlsx","Yukon","BS321200",FALSE,"GDP",NA,NA,NA,NA
"696","data/Yukon summary.xlsx","Yukon","BS321200",FALSE,"Jobs",NA,NA,NA,NA
"697","data/Yukon summary.xlsx","Yukon","BS321900",TRUE,"Output",NA,NA,NA,NA
"698","data/Yukon summary.xlsx","Yukon","BS321900",TRUE,"GDP",NA,NA,NA,NA
"699","data/Yukon summary.xlsx","Yukon","BS321900",TRUE,"Jobs",NA,NA,NA,NA
"700","data/Yukon summary.xlsx","Yukon","BS321900",FALSE,"Output",NA,NA,NA,NA
"701","data/Yukon summary.xlsx","Yukon","BS321900",FALSE,"GDP",NA,NA,NA,NA
"702","data/Yukon summary.xlsx","Yukon","BS321900",FALSE,"Jobs",NA,NA,NA,NA
"703","data/Yukon summary.xlsx","Yukon","BS322000",TRUE,"Output",NA,NA,NA,NA
"704","data/Yukon summary.xlsx","Yukon","BS322000",TRUE,"GDP",NA,NA,NA,NA
"705","data/Yukon summary.xlsx","Yukon","BS322000",TRUE,"Jobs",NA,NA,NA,NA
"706","data/Yukon summary.xlsx","Yukon","BS322000",FALSE,"Output",NA,NA,NA,NA
"707","data/Yukon summary.xlsx","Yukon","BS322000",FALSE,"GDP",NA,NA,NA,NA
"708","data/Yukon summary.xlsx","Yukon","BS322000",FALSE,"Jobs",NA,NA,NA,NA
"709","data/Yukon summary.xlsx","Yukon","BS322100",TRUE,"Output",NA,NA,NA,NA
"710","data/Yukon summary.xlsx","Yukon","BS322100",TRUE,"GDP",NA,NA,NA,NA
"711","data/Yukon summary.xlsx","Yukon","BS322100",TRUE,"Jobs",NA,NA,NA,NA
"712","data/Yukon summary.xlsx","Yukon","BS322100",FALSE,"Output",NA,NA,NA,NA
"713","data/Yukon summary.xlsx","Yukon","BS322100",FALSE,"GDP",NA,NA,NA,NA
"714","data/Yukon summary.xlsx","Yukon","BS322100",FALSE,"Jobs",NA,NA,NA,NA
"715","data/Yukon summary.xlsx","Yukon","BS322200",TRUE,"Output",NA,NA,NA,NA
"716","data/Yukon summary.xlsx","Yukon","BS322200",TRUE,"GDP",NA,NA,NA,NA
"717","data/Yukon summary.xlsx","Yukon","BS322200",TRUE,"Jobs",NA,NA,NA,NA
"718","data/Yukon summary.xlsx","Yukon","BS322200",FALSE,"Output",NA,NA,NA,NA
"719","data/Yukon summary.xlsx","Yukon","BS322200",FALSE,"GDP",NA,NA,NA,NA
"720","data/Yukon summary.xlsx","Yukon","BS322200",FALSE,"Jobs",NA,NA,NA,NA
