"","province","pt","type","category","constrained","Industry","conversion.factor"
"279","Alberta","AB","Induced","Output",TRUE,"Forestry and logging [BS113000]",6.53636345095841
"280","Alberta","AB","Induced","Output",FALSE,"Forestry and logging [BS113000]",9.56775061665092
"281","Alberta","AB","Indirect","GDP",TRUE,"Forestry and logging [BS113000]",6.05674504682541
"282","Alberta","AB","Indirect","GDP",FALSE,"Forestry and logging [BS113000]",8.90534880620316
"283","Alberta","AB","Induced","GDP",TRUE,"Forestry and logging [BS113000]",2.45316122621545
"284","Alberta","AB","Induced","GDP",FALSE,"Forestry and logging [BS113000]",3.59087052165459
"285","Alberta","AB","Indirect","Jobs",TRUE,"Forestry and logging [BS113]",41.2129938586742
"286","Alberta","AB","Indirect","Jobs",FALSE,"Forestry and logging [BS113]",60.5962580267054
"287","Alberta","AB","Induced","Jobs",TRUE,"Forestry and logging [BS113]",16.6924837959535
"288","Alberta","AB","Induced","Jobs",FALSE,"Forestry and logging [BS113]",24.4340026882612
"289","Alberta","AB","Indirect","Output",TRUE,"Support activities for forestry [BS115300]",3.25809025972002
"290","Alberta","AB","Indirect","Output",FALSE,"Support activities for forestry [BS115300]",5.23501204851102
"291","Alberta","AB","Induced","Output",TRUE,"Support activities for forestry [BS115300]",2.20329073511844
"292","Alberta","AB","Induced","Output",FALSE,"Support activities for forestry [BS115300]",3.1178126063382
"293","Alberta","AB","Indirect","GDP",TRUE,"Support activities for forestry [BS115300]",1.44800888074356
"294","Alberta","AB","Indirect","GDP",FALSE,"Support activities for forestry [BS115300]",2.32662183450218
"295","Alberta","AB","Induced","GDP",TRUE,"Support activities for forestry [BS115300]",0.979219204192846
"296","Alberta","AB","Induced","GDP",FALSE,"Support activities for forestry [BS115300]",1.38566460183331
"297","Alberta","AB","Indirect","Jobs",TRUE,"Support activities for forestry [BS1153]",14.8567791394481
"298","Alberta","AB","Indirect","Jobs",FALSE,"Support activities for forestry [BS1153]",23.8714742678005
"299","Alberta","AB","Induced","Jobs",TRUE,"Support activities for forestry [BS1153]",10.0469297110448
"300","Alberta","AB","Induced","Jobs",FALSE,"Support activities for forestry [BS1153]",14.217117881361
"301","Alberta","AB","Indirect","Output",TRUE,"Sawmills and wood preservation [BS321100]",22.9158337299783
"302","Alberta","AB","Indirect","Output",FALSE,"Sawmills and wood preservation [BS321100]",30.1036245440314
"303","Alberta","AB","Induced","Output",TRUE,"Sawmills and wood preservation [BS321100]",11.7072273917629
"304","Alberta","AB","Induced","Output",FALSE,"Sawmills and wood preservation [BS321100]",16.2527436894056
"305","Alberta","AB","Indirect","GDP",TRUE,"Sawmills and wood preservation [BS321100]",8.62445459656692
"306","Alberta","AB","Indirect","GDP",FALSE,"Sawmills and wood preservation [BS321100]",11.3296049417768
"307","Alberta","AB","Induced","GDP",TRUE,"Sawmills and wood preservation [BS321100]",4.40605619161296
"308","Alberta","AB","Induced","GDP",FALSE,"Sawmills and wood preservation [BS321100]",6.11677723230936
"309","Alberta","AB","Indirect","Jobs",TRUE,"Sawmills and wood preservation [BS3211]",41.0859206396752
"310","Alberta","AB","Indirect","Jobs",FALSE,"Sawmills and wood preservation [BS3211]",53.9729491650412
"311","Alberta","AB","Induced","Jobs",TRUE,"Sawmills and wood preservation [BS3211]",20.9899504943327
"312","Alberta","AB","Induced","Jobs",FALSE,"Sawmills and wood preservation [BS3211]",29.139630932404
"313","Alberta","AB","Indirect","Output",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",14.4530739253403
"314","Alberta","AB","Indirect","Output",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",19.8958179490005
"315","Alberta","AB","Induced","Output",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",8.4619556785503
"316","Alberta","AB","Induced","Output",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",11.8021010209168
"317","Alberta","AB","Indirect","GDP",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",5.9078317542511
"318","Alberta","AB","Indirect","GDP",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",8.13260526190357
"319","Alberta","AB","Induced","GDP",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",3.45890505501083
"320","Alberta","AB","Induced","GDP",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",4.82422130672175
"321","Alberta","AB","Indirect","Jobs",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",24.8827596179872
"322","Alberta","AB","Indirect","Jobs",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",34.253118608923
"323","Alberta","AB","Induced","Jobs",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",14.5683063779438
"324","Alberta","AB","Induced","Jobs",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",20.3187809186936
"325","Alberta","AB","Indirect","Output",TRUE,"Other wood product manufacturing [BS321900]",9.46023358735726
"326","Alberta","AB","Indirect","Output",FALSE,"Other wood product manufacturing [BS321900]",12.4740440094448
"327","Alberta","AB","Induced","Output",TRUE,"Other wood product manufacturing [BS321900]",5.39647155554894
"328","Alberta","AB","Induced","Output",FALSE,"Other wood product manufacturing [BS321900]",7.46491559774555
"329","Alberta","AB","Indirect","GDP",TRUE,"Other wood product manufacturing [BS321900]",3.21322165833698
"330","Alberta","AB","Indirect","GDP",FALSE,"Other wood product manufacturing [BS321900]",4.23687935483563
"331","Alberta","AB","Induced","GDP",TRUE,"Other wood product manufacturing [BS321900]",1.8329419797903
"332","Alberta","AB","Induced","GDP",FALSE,"Other wood product manufacturing [BS321900]",2.5355006570228
"333","Alberta","AB","Indirect","Jobs",TRUE,"Other wood product manufacturing [BS3219]",37.3369993883592
"334","Alberta","AB","Indirect","Jobs",FALSE,"Other wood product manufacturing [BS3219]",49.2316991171791
"335","Alberta","AB","Induced","Jobs",TRUE,"Other wood product manufacturing [BS3219]",21.2984228463554
"336","Alberta","AB","Induced","Jobs",FALSE,"Other wood product manufacturing [BS3219]",29.462015555267
"337","Alberta","AB","Indirect","Output",TRUE,"Pulp, paper and paperboard mills [BS322100]",26.0612020105518
"338","Alberta","AB","Indirect","Output",FALSE,"Pulp, paper and paperboard mills [BS322100]",35.063134955035
"339","Alberta","AB","Induced","Output",TRUE,"Pulp, paper and paperboard mills [BS322100]",9.71892717879064
"340","Alberta","AB","Induced","Output",FALSE,"Pulp, paper and paperboard mills [BS322100]",14.0081127476936
"341","Alberta","AB","Indirect","GDP",TRUE,"Pulp, paper and paperboard mills [BS322100]",7.69471694553833
"342","Alberta","AB","Indirect","GDP",FALSE,"Pulp, paper and paperboard mills [BS322100]",10.352588441353
"343","Alberta","AB","Induced","GDP",TRUE,"Pulp, paper and paperboard mills [BS322100]",2.86956808917771
"344","Alberta","AB","Induced","GDP",FALSE,"Pulp, paper and paperboard mills [BS322100]",4.13597433038767
"345","Alberta","AB","Indirect","Jobs",TRUE,"Pulp, paper and paperboard mills [BS3221]",28.7808940202586
"346","Alberta","AB","Indirect","Jobs",FALSE,"Pulp, paper and paperboard mills [BS3221]",38.7222496779043
"347","Alberta","AB","Induced","Jobs",TRUE,"Pulp, paper and paperboard mills [BS3221]",10.7331738962052
"348","Alberta","AB","Induced","Jobs",FALSE,"Pulp, paper and paperboard mills [BS3221]",15.469969813824
"349","Alberta","AB","Indirect","Output",TRUE,"Converted paper product manufacturing [BS322200]",2.72226221317336
"350","Alberta","AB","Indirect","Output",FALSE,"Converted paper product manufacturing [BS322200]",3.73151621041766
"351","Alberta","AB","Induced","Output",TRUE,"Converted paper product manufacturing [BS322200]",1.7577073872218
"352","Alberta","AB","Induced","Output",FALSE,"Converted paper product manufacturing [BS322200]",2.43375902287888
"353","Alberta","AB","Indirect","GDP",TRUE,"Converted paper product manufacturing [BS322200]",0.852383697327687
"354","Alberta","AB","Indirect","GDP",FALSE,"Converted paper product manufacturing [BS322200]",1.16839721342136
"355","Alberta","AB","Induced","GDP",TRUE,"Converted paper product manufacturing [BS322200]",0.550366204361261
"356","Alberta","AB","Induced","GDP",FALSE,"Converted paper product manufacturing [BS322200]",0.762048749120262
"357","Alberta","AB","Indirect","Jobs",TRUE,"Converted paper product manufacturing [BS3222]",6.95360456625803
"358","Alberta","AB","Indirect","Jobs",FALSE,"Converted paper product manufacturing [BS3222]",9.5315903200886
"359","Alberta","AB","Induced","Jobs",TRUE,"Converted paper product manufacturing [BS3222]",4.48979604344699
"360","Alberta","AB","Induced","Jobs",FALSE,"Converted paper product manufacturing [BS3222]",6.21666706931017
"361","British Columbia","BC","Indirect","Output",TRUE,"Forestry and logging [BS113000]",33.6014108466044
"362","British Columbia","BC","Indirect","Output",FALSE,"Forestry and logging [BS113000]",49.4048010368855
"363","British Columbia","BC","Induced","Output",TRUE,"Forestry and logging [BS113000]",13.6095671186011
"364","British Columbia","BC","Induced","Output",FALSE,"Forestry and logging [BS113000]",19.9213133064465
"365","British Columbia","BC","Indirect","GDP",TRUE,"Forestry and logging [BS113000]",13.8533148148518
"366","British Columbia","BC","Indirect","GDP",FALSE,"Forestry and logging [BS113000]",20.3687953834312
"367","British Columbia","BC","Induced","GDP",TRUE,"Forestry and logging [BS113000]",5.6110030215261
"368","British Columbia","BC","Induced","GDP",FALSE,"Forestry and logging [BS113000]",8.21323324843034
"369","British Columbia","BC","Indirect","Jobs",TRUE,"Forestry and logging [BS113]",78.4261532807392
"370","British Columbia","BC","Indirect","Jobs",FALSE,"Forestry and logging [BS113]",115.311482503264
"371","British Columbia","BC","Induced","Jobs",TRUE,"Forestry and logging [BS113]",31.7649161161868
"372","British Columbia","BC","Induced","Jobs",FALSE,"Forestry and logging [BS113]",46.4966181943186
"373","British Columbia","BC","Indirect","Output",TRUE,"Support activities for forestry [BS115300]",5.6192230506386
"374","British Columbia","BC","Indirect","Output",FALSE,"Support activities for forestry [BS115300]",9.02881689222809
"375","British Columbia","BC","Induced","Output",TRUE,"Support activities for forestry [BS115300]",3.80001200061901
"376","British Columbia","BC","Induced","Output",FALSE,"Support activities for forestry [BS115300]",5.37728640661194
"377","British Columbia","BC","Indirect","GDP",TRUE,"Support activities for forestry [BS115300]",2.8307160089929
"378","British Columbia","BC","Indirect","GDP",FALSE,"Support activities for forestry [BS115300]",4.54831856446614
"379","British Columbia","BC","Induced","GDP",TRUE,"Support activities for forestry [BS115300]",1.91427795401269
"380","British Columbia","BC","Induced","GDP",FALSE,"Support activities for forestry [BS115300]",2.70883902969584
"381","British Columbia","BC","Indirect","Jobs",TRUE,"Support activities for forestry [BS1153]",35.6863242936998
"382","British Columbia","BC","Indirect","Jobs",FALSE,"Support activities for forestry [BS1153]",57.3398287807545
"383","British Columbia","BC","Induced","Jobs",TRUE,"Support activities for forestry [BS1153]",24.1329556331867
"384","British Columbia","BC","Induced","Jobs",FALSE,"Support activities for forestry [BS1153]",34.1498432785382
"385","British Columbia","BC","Indirect","Output",TRUE,"Sawmills and wood preservation [BS321100]",34.7756784623188
"386","British Columbia","BC","Indirect","Output",FALSE,"Sawmills and wood preservation [BS321100]",45.6834335607914
"387","British Columbia","BC","Induced","Output",TRUE,"Sawmills and wood preservation [BS321100]",17.7661777554529
"388","British Columbia","BC","Induced","Output",FALSE,"Sawmills and wood preservation [BS321100]",24.6641774125748
"389","British Columbia","BC","Indirect","GDP",TRUE,"Sawmills and wood preservation [BS321100]",8.52686303781782
"390","British Columbia","BC","Indirect","GDP",FALSE,"Sawmills and wood preservation [BS321100]",11.2014027703931
"391","British Columbia","BC","Induced","GDP",TRUE,"Sawmills and wood preservation [BS321100]",4.35619867461162
"392","British Columbia","BC","Induced","GDP",FALSE,"Sawmills and wood preservation [BS321100]",6.04756174535444
"393","British Columbia","BC","Indirect","Jobs",TRUE,"Sawmills and wood preservation [BS3211]",81.7591367639731
"394","British Columbia","BC","Indirect","Jobs",FALSE,"Sawmills and wood preservation [BS3211]",107.403744728999
"395","British Columbia","BC","Induced","Jobs",TRUE,"Sawmills and wood preservation [BS3211]",41.7690587533768
"396","British Columbia","BC","Induced","Jobs",FALSE,"Sawmills and wood preservation [BS3211]",57.9865567951637
"397","British Columbia","BC","Indirect","Output",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",8.45760084487118
"398","British Columbia","BC","Indirect","Output",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",11.6425673572349
"399","British Columbia","BC","Induced","Output",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",4.95173856204325
"400","British Columbia","BC","Induced","Output",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",6.906313499909
"401","British Columbia","BC","Indirect","GDP",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",2.88864908367233
"402","British Columbia","BC","Indirect","GDP",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",3.97645764383223
"403","British Columbia","BC","Induced","GDP",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",1.69124026094294
"404","British Columbia","BC","Induced","GDP",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",2.35881505038913
"405","British Columbia","BC","Indirect","Jobs",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",21.4662629389342
"406","British Columbia","BC","Indirect","Jobs",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",29.5500363233875
"407","British Columbia","BC","Induced","Jobs",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",12.5680230040816
"408","British Columbia","BC","Induced","Jobs",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",17.5289357167595
"409","British Columbia","BC","Indirect","Output",TRUE,"Other wood product manufacturing [BS321900]",12.5320757640743
"410","British Columbia","BC","Indirect","Output",FALSE,"Other wood product manufacturing [BS321900]",16.5245036676129
"411","British Columbia","BC","Induced","Output",TRUE,"Other wood product manufacturing [BS321900]",7.14876538388983
"412","British Columbia","BC","Induced","Output",FALSE,"Other wood product manufacturing [BS321900]",9.88885601814207
"413","British Columbia","BC","Indirect","GDP",TRUE,"Other wood product manufacturing [BS321900]",3.66205145617641
"414","British Columbia","BC","Indirect","GDP",FALSE,"Other wood product manufacturing [BS321900]",4.82869588867697
"415","British Columbia","BC","Induced","GDP",TRUE,"Other wood product manufacturing [BS321900]",2.08897130665176
"416","British Columbia","BC","Induced","GDP",FALSE,"Other wood product manufacturing [BS321900]",2.88966490970068
"417","British Columbia","BC","Indirect","Jobs",TRUE,"Other wood product manufacturing [BS3219]",42.5393766016647
"418","British Columbia","BC","Indirect","Jobs",FALSE,"Other wood product manufacturing [BS3219]",56.09143272875
"419","British Columbia","BC","Induced","Jobs",TRUE,"Other wood product manufacturing [BS3219]",24.2660536552139
"420","British Columbia","BC","Induced","Jobs",FALSE,"Other wood product manufacturing [BS3219]",33.5671263272526
"421","British Columbia","BC","Indirect","Output",TRUE,"Pulp, paper and paperboard mills [BS322100]",28.8560601729908
"422","British Columbia","BC","Indirect","Output",FALSE,"Pulp, paper and paperboard mills [BS322100]",38.8233793555083
"423","British Columbia","BC","Induced","Output",TRUE,"Pulp, paper and paperboard mills [BS322100]",10.7612053877848
"424","British Columbia","BC","Induced","Output",FALSE,"Pulp, paper and paperboard mills [BS322100]",15.5103722458322
"425","British Columbia","BC","Indirect","GDP",TRUE,"Pulp, paper and paperboard mills [BS322100]",7.63830459763219
"426","British Columbia","BC","Indirect","GDP",FALSE,"Pulp, paper and paperboard mills [BS322100]",10.2766904161214
"427","British Columbia","BC","Induced","GDP",TRUE,"Pulp, paper and paperboard mills [BS322100]",2.84853039870348
"428","British Columbia","BC","Induced","GDP",FALSE,"Pulp, paper and paperboard mills [BS322100]",4.10565222438844
"429","British Columbia","BC","Indirect","Jobs",TRUE,"Pulp, paper and paperboard mills [BS3221]",38.6787023901505
"430","British Columbia","BC","Indirect","Jobs",FALSE,"Pulp, paper and paperboard mills [BS3221]",52.0389106090493
"431","British Columbia","BC","Induced","Jobs",TRUE,"Pulp, paper and paperboard mills [BS3221]",14.4243343706014
"432","British Columbia","BC","Induced","Jobs",FALSE,"Pulp, paper and paperboard mills [BS3221]",20.7901241008125
"433","British Columbia","BC","Indirect","Output",TRUE,"Converted paper product manufacturing [BS322200]",1.87546084735206
"434","British Columbia","BC","Indirect","Output",FALSE,"Converted paper product manufacturing [BS322200]",2.57077092722081
"435","British Columbia","BC","Induced","Output",TRUE,"Converted paper product manufacturing [BS322200]",1.2109455767647
"436","British Columbia","BC","Induced","Output",FALSE,"Converted paper product manufacturing [BS322200]",1.67670099419936
"437","British Columbia","BC","Indirect","GDP",TRUE,"Converted paper product manufacturing [BS322200]",0.623306013317605
"438","British Columbia","BC","Indirect","GDP",FALSE,"Converted paper product manufacturing [BS322200]",0.854391058102431
"439","British Columbia","BC","Induced","GDP",TRUE,"Converted paper product manufacturing [BS322200]",0.402455567581416
"440","British Columbia","BC","Induced","GDP",FALSE,"Converted paper product manufacturing [BS322200]",0.55724853637741
"441","British Columbia","BC","Indirect","Jobs",TRUE,"Converted paper product manufacturing [BS3222]",5.80262649607886
"442","British Columbia","BC","Indirect","Jobs",FALSE,"Converted paper product manufacturing [BS3222]",7.95389758133429
"443","British Columbia","BC","Induced","Jobs",TRUE,"Converted paper product manufacturing [BS3222]",3.74663374016324
"444","British Columbia","BC","Induced","Jobs",FALSE,"Converted paper product manufacturing [BS3222]",5.18766874215457
"445","Manitoba","MB","Indirect","Output",TRUE,"Forestry and logging [BS113000]",16.9060839493574
"446","Manitoba","MB","Indirect","Output",FALSE,"Forestry and logging [BS113000]",24.8573405933426
"447","Manitoba","MB","Induced","Output",TRUE,"Forestry and logging [BS113000]",6.84746498508218
"448","Manitoba","MB","Induced","Output",FALSE,"Forestry and logging [BS113000]",10.0231325606457
"449","Manitoba","MB","Indirect","GDP",TRUE,"Forestry and logging [BS113000]",6.57357936591554
"450","Manitoba","MB","Indirect","GDP",FALSE,"Forestry and logging [BS113000]",9.66526025219123
"451","Manitoba","MB","Induced","GDP",TRUE,"Forestry and logging [BS113000]",2.66249444103088
"452","Manitoba","MB","Induced","GDP",FALSE,"Forestry and logging [BS113000]",3.8972867743864
"453","Manitoba","MB","Indirect","Jobs",TRUE,"Forestry and logging [BS113]",73.8468400222556
"454","Manitoba","MB","Indirect","Jobs",FALSE,"Forestry and logging [BS113]",108.578430089073
"455","Manitoba","MB","Induced","Jobs",TRUE,"Forestry and logging [BS113]",29.9101585456508
"456","Manitoba","MB","Induced","Jobs",FALSE,"Forestry and logging [BS113]",43.7816746293868
"457","Manitoba","MB","Indirect","Output",TRUE,"Support activities for forestry [BS115300]",4.72621063848236
"458","Manitoba","MB","Indirect","Output",FALSE,"Support activities for forestry [BS115300]",7.59394849864665
"459","Manitoba","MB","Induced","Output",TRUE,"Support activities for forestry [BS115300]",3.19611038427193
"460","Manitoba","MB","Induced","Output",FALSE,"Support activities for forestry [BS115300]",4.52272280207986
"461","Manitoba","MB","Indirect","GDP",TRUE,"Support activities for forestry [BS115300]",2.36604085379924
"462","Manitoba","MB","Indirect","GDP",FALSE,"Support activities for forestry [BS115300]",3.80169098752124
"463","Manitoba","MB","Induced","GDP",TRUE,"Support activities for forestry [BS115300]",1.60004035386533
"464","Manitoba","MB","Induced","GDP",FALSE,"Support activities for forestry [BS115300]",2.26417054563749
"465","Manitoba","MB","Indirect","Jobs",TRUE,"Support activities for forestry [BS1153]",31.997326682893
"466","Manitoba","MB","Indirect","Jobs",FALSE,"Support activities for forestry [BS1153]",51.4124463572972
"467","Manitoba","MB","Induced","Jobs",TRUE,"Support activities for forestry [BS1153]",21.6382628500398
"468","Manitoba","MB","Induced","Jobs",FALSE,"Support activities for forestry [BS1153]",30.6196761134599
"469","Manitoba","MB","Indirect","Output",TRUE,"Sawmills and wood preservation [BS321100]",18.3566471658222
"470","Manitoba","MB","Indirect","Output",FALSE,"Sawmills and wood preservation [BS321100]",24.1144014517902
"471","Manitoba","MB","Induced","Output",TRUE,"Sawmills and wood preservation [BS321100]",9.37803289432597
"472","Manitoba","MB","Induced","Output",FALSE,"Sawmills and wood preservation [BS321100]",13.0192025696481
"473","Manitoba","MB","Indirect","GDP",TRUE,"Sawmills and wood preservation [BS321100]",4.1630100432056
"474","Manitoba","MB","Indirect","GDP",FALSE,"Sawmills and wood preservation [BS321100]",5.46878166382176
"475","Manitoba","MB","Induced","GDP",TRUE,"Sawmills and wood preservation [BS321100]",2.1267960740282
"476","Manitoba","MB","Induced","GDP",FALSE,"Sawmills and wood preservation [BS321100]",2.95255830557582
"477","Manitoba","MB","Indirect","Jobs",TRUE,"Sawmills and wood preservation [BS3211]",49.4678662541406
"478","Manitoba","MB","Indirect","Jobs",FALSE,"Sawmills and wood preservation [BS3211]",64.9839796472647
"479","Manitoba","MB","Induced","Jobs",TRUE,"Sawmills and wood preservation [BS3211]",25.272113842619
"480","Manitoba","MB","Induced","Jobs",FALSE,"Sawmills and wood preservation [BS3211]",35.0844119644041
"481","Manitoba","MB","Indirect","Output",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",39.7250554984299
"482","Manitoba","MB","Indirect","Output",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",54.6847318635085
"483","Manitoba","MB","Induced","Output",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",23.2581429177011
"484","Manitoba","MB","Induced","Output",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",32.4387130707183
"485","Manitoba","MB","Indirect","GDP",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",9.98310492391563
"486","Manitoba","MB","Indirect","GDP",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",13.7425463370637
"487","Manitoba","MB","Induced","GDP",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",5.84488751921348
"488","Manitoba","MB","Induced","GDP",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS321200]",8.15201066728714
"489","Manitoba","MB","Indirect","Jobs",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",141.55780402924
"490","Manitoba","MB","Indirect","Jobs",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",194.865695199143
"491","Manitoba","MB","Induced","Jobs",TRUE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",82.8789688502293
"492","Manitoba","MB","Induced","Jobs",FALSE,"Veneer, plywood and engineered wood product manufacturing [BS3212]",115.593368724356
"493","Manitoba","MB","Indirect","Output",TRUE,"Other wood product manufacturing [BS321900]",64.7857158526718
"494","Manitoba","MB","Indirect","Output",FALSE,"Other wood product manufacturing [BS321900]",85.4249383238927
"495","Manitoba","MB","Induced","Output",TRUE,"Other wood product manufacturing [BS321900]",36.956198763638
"496","Manitoba","MB","Induced","Output",FALSE,"Other wood product manufacturing [BS321900]",51.121348782131
"497","Manitoba","MB","Indirect","GDP",TRUE,"Other wood product manufacturing [BS321900]",29.4214749954495
"498","Manitoba","MB","Indirect","GDP",FALSE,"Other wood product manufacturing [BS321900]",38.794472729139
"499","Manitoba","MB","Induced","GDP",TRUE,"Other wood product manufacturing [BS321900]",16.783111269834
"500","Manitoba","MB","Induced","GDP",FALSE,"Other wood product manufacturing [BS321900]",23.2160047185014
"501","Manitoba","MB","Indirect","Jobs",TRUE,"Other wood product manufacturing [BS3219]",402.120069269332
"502","Manitoba","MB","Indirect","Jobs",FALSE,"Other wood product manufacturing [BS3219]",530.226171989045
"503","Manitoba","MB","Induced","Jobs",TRUE,"Other wood product manufacturing [BS3219]",229.384348249854
"504","Manitoba","MB","Induced","Jobs",FALSE,"Other wood product manufacturing [BS3219]",317.306369820168
"505","Manitoba","MB","Indirect","Output",TRUE,"Pulp, paper and paperboard mills [BS322100]",50.8024629554182
"506","Manitoba","MB","Indirect","Output",FALSE,"Pulp, paper and paperboard mills [BS322100]",68.350401256733
"507","Manitoba","MB","Induced","Output",TRUE,"Pulp, paper and paperboard mills [BS322100]",18.9456126301085
"508","Manitoba","MB","Induced","Output",FALSE,"Pulp, paper and paperboard mills [BS322100]",27.3067461988857
"509","Manitoba","MB","Indirect","GDP",TRUE,"Pulp, paper and paperboard mills [BS322100]",13.87467362131
"510","Manitoba","MB","Indirect","GDP",FALSE,"Pulp, paper and paperboard mills [BS322100]",18.6671955285902
"511","Manitoba","MB","Induced","GDP",TRUE,"Pulp, paper and paperboard mills [BS322100]",5.17424109986953
"512","Manitoba","MB","Induced","GDP",FALSE,"Pulp, paper and paperboard mills [BS322100]",7.45775242239668
"513","Manitoba","MB","Indirect","Jobs",TRUE,"Pulp, paper and paperboard mills [BS3221]",120.463230647778
"514","Manitoba","MB","Indirect","Jobs",FALSE,"Pulp, paper and paperboard mills [BS3221]",162.073050644877
"515","Manitoba","MB","Induced","Jobs",TRUE,"Pulp, paper and paperboard mills [BS3221]",44.923997209092
"516","Manitoba","MB","Induced","Jobs",FALSE,"Pulp, paper and paperboard mills [BS3221]",64.7499879776177
"517","Manitoba","MB","Indirect","Output",TRUE,"Converted paper product manufacturing [BS322200]",61.9676600693532
"518","Manitoba","MB","Indirect","Output",FALSE,"Converted paper product manufacturing [BS322200]",84.9416073703249
"519","Manitoba","MB","Induced","Output",TRUE,"Converted paper product manufacturing [BS322200]",40.0112132276125
"520","Manitoba","MB","Induced","Output",FALSE,"Converted paper product manufacturing [BS322200]",55.4003766024707
"521","Manitoba","MB","Indirect","GDP",TRUE,"Converted paper product manufacturing [BS322200]",19.5448826121276
"522","Manitoba","MB","Indirect","GDP",FALSE,"Converted paper product manufacturing [BS322200]",26.7909703719714
"523","Manitoba","MB","Induced","GDP",TRUE,"Converted paper product manufacturing [BS322200]",12.6197191378096
"524","Manitoba","MB","Induced","GDP",FALSE,"Converted paper product manufacturing [BS322200]",17.4735314541667
"525","Manitoba","MB","Indirect","Jobs",TRUE,"Converted paper product manufacturing [BS3222]",190.958117426669
"526","Manitoba","MB","Indirect","Jobs",FALSE,"Converted paper product manufacturing [BS3222]",261.754105552461
"527","Manitoba","MB","Induced","Jobs",TRUE,"Converted paper product manufacturing [BS3222]",123.297635336736
"528","Manitoba","MB","Induced","Jobs",FALSE,"Converted paper product manufacturing [BS3222]",170.720527592881
"529","New Brunswick","NB","Indirect","Output",TRUE,"Forestry and logging [BS113000]",27.7323917007345
"530","New Brunswick","NB","Indirect","Output",FALSE,"Forestry and logging [BS113000]",40.7754692356978
"531","New Brunswick","NB","Induced","Output",TRUE,"Forestry and logging [BS113000]",11.2324404452387
"532","New Brunswick","NB","Induced","Output",FALSE,"Forestry and logging [BS113000]",16.4417400903051
"533","New Brunswick","NB","Indirect","GDP",TRUE,"Forestry and logging [BS113000]",10.6400149954583
"534","New Brunswick","NB","Indirect","GDP",FALSE,"Forestry and logging [BS113000]",15.6442188180684
"535","New Brunswick","NB","Induced","GDP",TRUE,"Forestry and logging [BS113000]",4.30952137351238
"536","New Brunswick","NB","Induced","GDP",FALSE,"Forestry and logging [BS113000]",6.30815989475732
"537","New Brunswick","NB","Indirect","Jobs",TRUE,"Forestry and logging [BS113]",103.452754118891
"538","New Brunswick","NB","Indirect","Jobs",FALSE,"Forestry and logging [BS113]",152.108575359958
"539","New Brunswick","NB","Induced","Jobs",TRUE,"Forestry and logging [BS113]",41.9014310801614
"540","New Brunswick","NB","Induced","Jobs",FALSE,"Forestry and logging [BS113]",61.3341724436984
"541","New Brunswick","NB","Indirect","Output",TRUE,"Support activities for forestry [BS115300]",2.92558543148287
"542","New Brunswick","NB","Indirect","Output",FALSE,"Support activities for forestry [BS115300]",4.70075220815928
"543","New Brunswick","NB","Induced","Output",TRUE,"Support activities for forestry [BS115300]",1.97843361053404
"544","New Brunswick","NB","Induced","Output",FALSE,"Support activities for forestry [BS115300]",2.79962383239208
